entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2016-01-19 00:00:00+05:30,2016-01-29 00:00:00+05:30,-1,7380.323444726562,7540.2352119540965,75,1.0,7538.727466460805,7538.727466460805,-11993.382542065068,193.37979526125673,-12186.762337326325,-0.013749675405107955,-1.0257957008837635,stop,7,-195.32645761718777,138.82344472656223,SHORT,-125855.85064184098,874144.149358159
2016-02-11 00:00:00+05:30,2016-02-16 00:00:00+05:30,-1,7202.159377636719,7203.599809512246,75,1.0,7371.464309052447,7202.159377636719,-108.03239066451624,189.36863767036624,-297.4010283348825,-0.00034021966348828103,-0.023421332215824237,stop,3,-6.490524707031,333.159377636719,SHORT,-126153.25167017586,873846.7483298242
2016-04-28 00:00:00+05:30,2016-04-29 00:00:00+05:30,1,7968.993382324218,7824.097539887826,75,1.0,7825.662672422311,7825.662672422311,-10867.188182729387,202.09265357487223,-11069.28083630426,-0.012667302198538684,-1.0297193898762602,stop,1,-180.29318701171815,23.006617675781854,LONG,-137222.5325064801,862777.4674935199
2016-06-03 00:00:00+05:30,2016-06-13 00:00:00+05:30,1,8247.849435351562,8108.788259992646,75,1.0,8110.410342061058,8110.410342061058,-10429.588151918666,207.69399063241175,-10637.282142551077,-0.01232911445109219,-1.031951136839664,stop,6,-183.94953300781162,47.100759960938376,LONG,-147859.8146490312,852140.1853509687
2016-07-26 00:00:00+05:30,2016-09-14 00:00:00+05:30,1,8635.47675,8708.908260546876,75,1.0,8508.350950603748,8635.47675,5507.36329101569,218.87693777703436,5288.486353238656,0.00620612247157491,0.5546722357806032,supertrend_flip,32,-117.32635937499981,333.2234453125002,LONG,-142571.32829579254,857428.6717042074
2016-11-07 00:00:00+05:30,2016-11-10 00:00:00+05:30,-1,8534.04285,8535.74965857,75,1.0,8660.354006106956,8534.04285,-128.01064274995042,215.65964969510958,-343.67029244506,-0.00040081502262105147,-0.036277639340534656,stop,3,-64.40734531250018,531.7928499999998,SHORT,-142914.9985882376,857085.0014117624
2016-11-22 00:00:00+05:30,2016-11-29 00:00:00+05:30,-1,7987.552072363282,8186.354966026052,75,1.0,8184.718022421568,8184.718022421568,-14910.2170247078,205.48726467851176,-15115.70428938631,-0.017636178750635254,-1.0221984262440036,stop,5,-209.7975370117183,49.402170019531695,SHORT,-158030.7028776239,841969.297122376
2016-12-27 00:00:00+05:30,2016-12-28 00:00:00+05:30,-1,7913.4667947265625,8048.314007246843,75,1.0,8046.704666313581,8046.704666313581,-10113.54093902105,203.82537502960474,-10317.366314050654,-0.01225385100063937,-1.0324758460097279,stop,1,-187.0830099609375,9.766599414062512,SHORT,-168348.06919167456,831651.9308083254
2017-01-25 00:00:00+05:30,2017-06-29 00:00:00+05:30,1,8501.150085351563,9521.045605273437,75,1.0,8388.24892069112,8501.150085351563,76492.16399414059,231.95525623788066,76260.2087379027,0.09169726650400664,9.00613192282055,supertrend_flip,104,-7.199890039062666,1208.1497193359373,LONG,-92087.86045377185,907912.1395462281
2017-07-11 00:00:00+05:30,2017-07-18 00:00:00+05:30,1,9799.409685351562,9797.449803414493,75,1.0,9691.075461716862,9799.409685351562,-146.991145280208,240.5989553642758,-387.5901006444838,-0.00042690265253882414,-0.047703004971162526,stop,5,-20.560075976562075,128.79050996093792,LONG,-92475.45055441634,907524.5494455837
