datetime,equity,exposure
2026-07-31 13:45:00+05:30,963748.5918888482,0
2026-07-31 14:00:00+05:30,963748.5918888482,0
2026-07-31 14:15:00+05:30,963748.5918888482,0
2026-07-31 14:30:00+05:30,963748.5918888482,0
2026-07-31 14:45:00+05:30,963748.5918888482,0
2026-07-31 15:00:00+05:30,963748.5918888482,0
2026-07-31 15:15:00+05:30,963748.5918888482,0
2026-08-03 09:15:00+05:30,963748.5918888482,0
2026-08-03 09:30:00+05:30,963748.5918888482,0
2026-08-03 09:45:00+05:30,964185.3930997363,1
2026-08-03 10:00:00+05:30,963588.6157559863,1
2026-08-03 10:15:00+05:30,963387.3657559863,1
2026-08-03 10:30:00+05:30,962718.9477872363,1
2026-08-03 10:45:00+05:30,962965.7251309863,1
2026-08-03 11:00:00+05:30,964724.4751309863,1
2026-08-03 11:15:00+05:30,965188.2251309863,1
2026-08-03 11:30:00+05:30,963907.1704434863,1
2026-08-03 11:45:00+05:30,963891.4477872363,1
2026-08-03 12:00:00+05:30,964566.9751309863,1
2026-08-03 12:15:00+05:30,963394.4751309863,1
2026-08-03 12:30:00+05:30,961553.4204434863,1
2026-08-03 12:45:00+05:30,960396.6430997363,1
2026-08-03 13:00:00+05:30,960361.6430997363,1
2026-08-03 13:15:00+05:30,960529.6704434863,1
2026-08-03 13:30:00+05:30,961430.9204434863,1
2026-08-03 13:45:00+05:30,961770.3930997363,1
2026-08-03 14:00:00+05:30,962260.3930997363,1
2026-08-03 14:15:00+05:30,962101.1157559863,1
2026-08-03 14:30:00+05:30,962437.1704434863,1
2026-08-03 14:45:00+05:30,962612.1704434863,1
2026-08-03 15:00:00+05:30,960053.6157559863,1
2026-08-03 15:15:00+05:30,978915.4776217163,0
2026-08-04 09:15:00+05:30,978915.4776217163,0
2026-08-04 09:30:00+05:30,978915.4776217163,0
2026-08-04 09:45:00+05:30,978915.4776217163,0
2026-08-04 10:00:00+05:30,978915.4776217163,0
2026-08-04 10:15:00+05:30,978915.4776217163,0
2026-08-04 10:30:00+05:30,978915.4776217163,0
2026-08-04 10:45:00+05:30,978915.4776217163,0
2026-08-04 11:00:00+05:30,978915.4776217163,0
2026-08-04 11:15:00+05:30,978915.4776217163,0
2026-08-04 11:30:00+05:30,978915.4776217163,0
2026-08-04 11:45:00+05:30,978915.4776217163,0
2026-08-04 12:00:00+05:30,978915.4776217163,0
2026-08-04 12:15:00+05:30,978915.4776217163,0
2026-08-04 12:30:00+05:30,978915.4776217163,0
2026-08-04 12:45:00+05:30,978915.4776217163,0
2026-08-04 13:00:00+05:30,978915.4776217163,0
2026-08-04 13:15:00+05:30,978915.4776217163,0
2026-08-04 13:30:00+05:30,978915.4776217163,0
